,0
0,1.167151046719072
1,1.1652713268772321
2,1.163409321275289
3,1.1615629616723009
4,1.1597315923619633
5,1.157914473399552
6,1.1561117918478063
7,1.154325834408508
8,1.1525543371427092
9,1.1507973341094326
10,1.1490542740017178
11,1.1473242749267896
12,1.1456086040620876
13,1.1439058981815693
14,1.1422168408794593
15,1.1405401277662082
16,1.1388768722930813
17,1.1372274464145609
18,1.1355914965361538
19,1.1339693164741003
20,1.1323613818490155
21,1.1307656057367244
22,1.129181055504493
23,1.1276096526205794
24,1.126050284758347
25,1.1245029684587888
26,1.1229670522576312
27,1.1214423599123406
28,1.1199287638624555
29,1.1184266298525514
30,1.116934700635965
31,1.1154541548371817
32,1.1139865051523208
33,1.1125308109806693
34,1.1110852214087845
35,1.1096495344328876
36,1.1082249147975052
37,1.1068103428702165
38,1.105404063064379
39,1.104006736146461
40,1.1026188962148438
41,1.1012412235409204
42,1.0998729013085657
43,1.0985148691961382
44,1.097165891017059
45,1.0958259297663608
46,1.0944953305603475
47,1.0931724751088474
48,1.091857895659763
49,1.0905525428146836
50,1.089255112929357
51,1.0879658693087702
52,1.0866837857789846
53,1.0854095707490297
54,1.0841433659328714
55,1.0828851285438539
56,1.0816344467489614
57,1.0803912613395878
58,1.07915644554705
59,1.077930174627156
60,1.076711862694854
61,1.0755006544915953
62,1.074295763584833
63,1.0730976956263127
64,1.071905296070702
65,1.0707188413557955
66,1.0695383668428238
67,1.0683638323784166
68,1.0671948429860527
69,1.066031645594282
70,1.0648756021332464
71,1.0637265534986546
72,1.0625840936022468
73,1.061447121410311
74,1.060315908248219
75,1.0591908056290384
76,1.0580715679501738
77,1.0569581298794595
78,1.0558504486676117
79,1.0547473233358082
80,1.0536489867848284
81,1.052556695238806
82,1.0514701855674902
83,1.050389286721551
84,1.0493139108041554
85,1.048243484285728
86,1.0471788121688685
87,1.0461207279287252
88,1.0450685689773955
89,1.0440211233227585
90,1.0429773967139635
91,1.0419388804603422
92,1.0409056319984162
93,1.0398767426362192
94,1.0388521484740458
95,1.03783231175381
96,1.036817669410584
97,1.0358081838384952
98,1.0348033948624196
99,1.0338040460382445
100,1.0328085179751596
101,1.0318169075603845
102,1.0308301301376293
103,1.0298481138649935
104,1.0288702854343132
105,1.0278984510077784
106,1.0269303389229814
107,1.0259665497521178
108,1.025005843705163
109,1.0240488065537847
110,1.0230960824631836
111,1.022147678350972
112,1.0212037649154282
113,1.0202633625016566
114,1.0193272540937905
115,1.018394279487477
116,1.0172764019826726
117,1.0155178656231096
118,1.0135055828179316
119,1.0101386300897914
120,1.005560488432468
121,1.0011353348312477
122,0.9969414752158262
123,0.9928859781349864
124,0.9893825027184413
125,0.9864414367902312
126,0.9838695988543171
127,0.9815359875025084
128,0.9795356009819869
129,0.9786868714719813
130,0.97784535669127
131,0.9770113356652862
132,0.976184502780669
133,0.9753649529058257
134,0.974552580557737
135,0.9737477504198454
136,0.9729501606504604
137,0.9721594840252324
138,0.9713759297009299
139,0.9705991741317715
140,0.9698293093245322
141,0.9690660239216499
142,0.9683097546048318
143,0.9675600142759978
144,0.9668174702259197
145,0.9660823353273321
146,0.9653540431053554
147,0.964632818519883
148,0.9639182184054298
149,0.9632107567104944
150,0.9625091966515632
151,0.9618142088998136
152,0.961125921833567
153,0.9604445531536682
154,0.9597695479086482
155,0.959101456586884
156,0.9584396912339685
157,0.9577846400784976
158,0.9571355506546725
159,0.9564927954385702
160,0.9558565763838646
161,0.9552267562575957
162,0.9546030373733114
163,0.9539855884016438
164,0.9533739604805923
165,0.9527681405689032
166,0.9521678303246516
167,0.9515735275485233
168,0.9509851407753689
169,0.9504029585885347
170,0.9498270907886553
171,0.9492576212008609
172,0.9486943967272351
173,0.9481366991272638
174,0.9475847795618986
175,0.9470386009446274
176,0.946498248124221
177,0.945963403462209
178,0.9454342211524512
179,0.9449108661880826
180,0.9443933268264265
181,0.943882015665911
182,0.9433763296114094
183,0.9428759254105272
184,0.9423813187966027
185,0.9418921480342809
186,0.9414085193420775
187,0.9409300775613181
188,0.9404570622366859
189,0.9399892268371773
190,0.939526069090129
191,0.939068413762476
192,0.9386160336164038
193,0.938169202132251
194,0.9377272459745701
195,0.9372898394348902
196,0.9368569771292128
197,0.9364286888380946
198,0.9360050410864084
199,0.9355859306353869
200,0.9351715730541995
201,0.9347621287196342
202,0.9343572842580486
203,0.9339571839137192
204,0.9335615577265457
205,0.9331705772106519
206,0.9327843192292119
207,0.9324024638695204
208,0.9320246423597559
209,0.9316508637214925
210,0.9312811656849799
211,0.9309158369279726
212,0.9305551154496235
213,0.9301985192744425
214,0.92984622317677
215,0.929497895800634
216,0.9291534117698682
217,0.9288135187546146
218,0.9284776934934014
219,0.9281455905763494
220,0.9278171295991667
221,0.927492919528096
222,0.9271727243177155
223,0.9268566173382886
224,0.9265444181895247
225,0.9262359768030614
226,0.9259316681883704
227,0.9256315767121851
228,0.92533520044818
229,0.9250420733315723
230,0.9247522731316871
231,0.9244657599356854
232,0.9241827018050967
233,0.9239030949661432
234,0.9236269447506326
235,0.9233545442760025
236,0.9230855863152401
237,0.922819684501377
238,0.9225570738973212
239,0.9222978397377319
240,0.9220422860220274
241,0.9217901056120823
242,0.9215412539579256
243,0.9212956624867483
244,0.9210536699900344
245,0.9208149802290544
246,0.920579716792235
247,0.9203475654407796
248,0.9201181629900107
249,0.9198913383865098
250,0.9196672771930263
251,0.9194459294123287
252,0.9192276743189839
253,0.9190123684113045
254,0.9187997161192916
255,0.9185895858586115
256,0.9183818579580019
257,0.9181767180682022
258,0.917974248399634
259,0.9177742909308325
260,0.9175768535595534
261,0.9173817780148283
262,0.917189262170856
263,0.9169993372348452
264,0.916812162667224
265,0.9166273936929447
266,0.9164449828747222
267,0.9162650103489901
268,0.9160873292784658
269,0.9159117636019981
270,0.9157382918207145
271,0.9155670801857754
272,0.9153984526979461
273,0.9152320020845959
274,0.9150678654232928
275,0.914905834910002
276,0.914745864200778
277,0.9145880867388105
278,0.9144325144585733
279,0.9142791142393079
280,0.9141283315175129
281,0.9139794290714057
282,0.9138325584945426
283,0.9136877087599645
284,0.9135448596753817
285,0.9134036647434898
286,0.9132641230382819
287,0.9131265534904159
288,0.9129907621218246
289,0.9128567964869558
290,0.9127246289472521
291,0.9125943260200167
292,0.9124660906951347
293,0.912339917693545
294,0.9122159980514237
295,0.9120939768037924
296,0.9119738342020328
297,0.911855623520866
298,0.9117393347798448
299,0.9116244460717988
300,0.9115113692706247
301,0.9113999236412142
302,0.9112905196505401
303,0.9111829519421333
304,0.9110770373024311
305,0.910972628370662
306,0.9108697468835473
307,0.9107683850582463
308,0.91066846407888
309,0.9105699762442427
310,0.9104729339544758
311,0.9103769751848678
312,0.9102821900233296
313,0.910188622270813
314,0.9100964354663458
315,0.9100056685975225
316,0.909916128860479
317,0.9098279157729503
318,0.9097409497232726
319,0.9096555321634596
320,0.9095719127120985
321,0.9094895946456516
322,0.9094086519265006
323,0.909328919161002
324,0.909250284137949
325,0.9091727474884328
326,0.909096536572747
327,0.9090218150532992
328,0.9089485876990396
329,0.90887662915664
330,0.9088059324873664
331,0.9087364132188198
332,0.9086681697038003
333,0.908601149221755
334,0.9085352633330834
335,0.9084706034408002
336,0.9084071538207352
337,0.9083450144092531
338,0.9082841318543536
339,0.9082243027850037
340,0.9081653962482392
341,0.9081072621668973
342,0.9080501488841157
343,0.9079943741718426
344,0.9079397410714941
345,0.9078860226563323
346,0.9078331984469731
347,0.9077813135217244
348,0.9077303780816719
349,0.9076806526538971
350,0.9076318031302628
351,0.9075837214353216
352,0.9075364104783686
353,0.9074900521723382
354,0.9074447050217732
355,0.9073999657706916
356,0.9073562734286513
357,0.9073133904906691
358,0.907271475327495
359,0.907230484913359
360,0.9071903140217473
361,0.9071507790961386
362,0.9071119136119432
363,0.9070738194434758
364,0.9070363086242823
365,0.9069996443278182
366,0.9069639173772482
367,0.9069290463427102
368,0.9068950549560851
369,0.9068617067148169
370,0.90682905562806
371,0.906797073616243
372,0.906765846001377
373,0.9067355768928635
374,0.9067059406195068
375,0.9066770414123093
376,0.906648842252687
377,0.9066214104394373
378,0.9065947348133417
379,0.9065688125610375
380,0.9065433581474861
381,0.906518538097845
382,0.906494316969695
383,0.9064707208126467
384,0.906447711724443
385,0.9064251716852219
386,0.9064030525796759
