,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
2780,"Spinach, unprepared, chopped or leaf, frozen",100 g,29,0.6g,,0,74.00 mg,22.1 mg,145.00 mcg,0.00 mcg,0.507 mg,0.094 mg,0.224 mg,0.094 mg,11726.00 IU,586.00 mcg,0.00 mcg,7035.00 mcg,0.00 mcg,12651.00 mcg,0,0.00 mcg,0.172 mg,5.5 mg,0.00 IU,2.90 mg,2.90 mg,372.0 mcg,129.00 mg,0.144 mg,1.89 mg,75.00 mg,0.704 mg,49.00 mg,346.00 mg,6.0 mcg,0.56 mg,3.63 g,0.218 g,0.481 g,0.429 g,0.029 g,0.508 g,0.221 g,0.049 g,0,0.126 g,0.202 g,0.251 g,0.052 g,0.207 g,0.198 g,0.170 g,0.217 g,0.100 g,0.215 g,0.178 g,4.21 g,2.9 g,0.65 g,0.18 g,0.00 g,0.24 g,0.00 g,0.00 g,0.24 g,0.57 g,0.041 g,0.000 g,0.082 g,0.00 mg,0.0 g,1.43 g,0.00 mg,0.00 mg,90.17 g
2912,"Kale, without salt, drained, boiled, cooked",100 g,28,0.4g,0.1g,0,23.00 mg,0.4 mg,13.00 mcg,0.00 mcg,0.500 mg,0.049 mg,0.070 mg,0.053 mg,13621.00 IU,681.00 mcg,0.00 mcg,8173.00 mcg,0.00 mcg,18246.00 mcg,0,0.00 mcg,0.138 mg,41.0 mg,0.00 IU,0.85 mg,0.85 mg,817.0 mcg,72.00 mg,0.156 mg,0.90 mg,18.00 mg,0.416 mg,28.00 mg,228.00 mg,0.9 mcg,0.24 mg,1.90 g,0.096 g,0.106 g,0.170 g,0.025 g,0.216 g,0.092 g,0.040 g,0,0.114 g,0.133 g,0.114 g,0.018 g,0.097 g,0.113 g,0.080 g,0.085 g,0.023 g,0.067 g,0.104 g,5.63 g,2.0 g,1.25 g,0,0,0,0,0,0,0.40 g,0.052 g,0.030 g,0.193 g,0.00 mg,0.0 g,0.87 g,0.00 mg,0.00 mg,91.20 g
3603,"Broccoli, without salt, drained, boiled, cooked",100 g,35,0.4g,0.1g,0,41.00 mg,40.1 mg,108.00 mcg,0.00 mcg,0.553 mg,0.616 mg,0.123 mg,0.063 mg,1548.00 IU,77.00 mcg,0.00 mcg,929.00 mcg,0.00 mcg,1080.00 mcg,0,0.00 mcg,0.200 mg,64.9 mg,0.00 IU,1.45 mg,1.45 mg,141.1 mcg,40.00 mg,0.061 mg,0.67 mg,21.00 mg,0.194 mg,67.00 mg,293.00 mg,1.6 mcg,0.45 mg,2.38 g,0.114 g,0.200 g,0.329 g,0.031 g,0.549 g,0.101 g,0.063 g,0,0.092 g,0.147 g,0.155 g,0.043 g,0.116 g,0.111 g,0.129 g,0.096 g,0.034 g,0.060 g,0.138 g,7.18 g,3.3 g,1.39 g,0.74 g,0.00 g,0.49 g,0.00 g,0.00 g,0.08 g,0.41 g,0.079 g,0.040 g,0.170 g,0.00 mg,0.0 g,0.77 g,0.00 mg,0.00 mg,89.25 g
3683,"Cauliflower, with salt, drained, boiled, cooked",100 g,23,0.5g,0.1g,0,242.00 mg,39.1 mg,44.00 mcg,0.00 mcg,0.410 mg,0.508 mg,0.052 mg,0.042 mg,12.00 IU,1.00 mcg,0.00 mcg,7.00 mcg,0.00 mcg,29.00 mcg,0,0.00 mcg,0.173 mg,44.3 mg,0.00 IU,0.07 mg,0.07 mg,13.8 mcg,16.00 mg,0.018 mg,0.32 mg,9.00 mg,0.132 mg,32.00 mg,142.00 mg,0.6 mcg,0.17 mg,1.84 g,0.097 g,0.089 g,0.216 g,0.021 g,0.245 g,0.059 g,0.037 g,0,0.070 g,0.107 g,0.099 g,0.026 g,0.066 g,0.079 g,0.096 g,0.067 g,0.024 g,0.040 g,0.092 g,4.11 g,2.3 g,1.86 g,0,0,0,0,0,0,0.45 g,0.070 g,0.032 g,0.217 g,0.00 mg,0,0.60 g,0,0,93.00 g
3809,"Carrots, without salt, drained, boiled, cooked",100 g,35,0.2g,,0,58.00 mg,8.8 mg,14.00 mcg,0.00 mcg,0.645 mg,0.232 mg,0.044 mg,0.066 mg,17033.00 IU,852.00 mcg,3776.00 mcg,8332.00 mcg,0.00 mcg,687.00 mcg,0,0.00 mcg,0.153 mg,3.6 mg,0.00 IU,1.03 mg,1.03 mg,13.7 mcg,30.00 mg,0.017 mg,0.34 mg,10.00 mg,0.155 mg,30.00 mg,235.00 mg,0.7 mcg,0.20 mg,0.76 g,0.093 g,0.075 g,0.156 g,0.068 g,0.301 g,0.038 g,0.033 g,0,0.063 g,0.084 g,0.083 g,0.017 g,0.050 g,0.044 g,0.044 g,0.157 g,0.010 g,0.035 g,0.056 g,8.22 g,3.0 g,3.45 g,0.36 g,0.00 g,0.40 g,0.00 g,0.00 g,2.70 g,0.18 g,0.030 g,0.006 g,0.089 g,0.00 mg,0.0 g,0.67 g,0.00 mg,0.00 mg,90.17 g
3537,"Peppers, unprepared, chopped, frozen, red, sweet",100 g,20,0.2g,,0,5.00 mg,4.3 mg,14.00 mcg,0.00 mcg,1.370 mg,0.030 mg,0.038 mg,0.069 mg,2428.00 IU,121.00 mcg,15.00 mcg,1259.00 mcg,380.00 mcg,39.00 mcg,0,0.00 mcg,0.137 mg,58.7 mg,0.00 IU,1.23 mg,1.23 mg,3.8 mcg,9.00 mg,0.053 mg,0.62 mg,8.00 mg,0.117 mg,17.00 mg,91.00 mg,0.2 mcg,0.06 mg,1.08 g,0.044 g,0.052 g,0.154 g,0.021 g,0.142 g,0.040 g,0.022 g,0,0.035 g,0.056 g,0.048 g,0.013 g,0.033 g,0.047 g,0.043 g,0.040 g,0.014 g,0.022 g,0.045 g,4.45 g,1.6 g,3.26 g,0,0,0,0,0,0,0.21 g,0.031 g,0.014 g,0.113 g,0.00 mg,0.0 g,0.30 g,0.00 mg,0.00 mg,93.96 g
1995,"Mushrooms, grilled, portabella",100 g,29,0.6g,0.1g,0,11.00 mg,32.8 mg,19.00 mcg,0.00 mcg,6.255 mg,1.262 mg,0.403 mg,0.072 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.122 mg,0.0 mg,14.00 IU,0.00 mg,0.00 mg,0.0 mcg,3.00 mg,0.389 mg,0.40 mg,13.00 mg,0.067 mg,135.00 mg,437.00 mg,21.9 mcg,0.65 mg,3.28 g,0.185 g,0.120 g,0.260 g,0.020 g,0.470 g,0.110 g,0.065 g,0,0.090 g,0.150 g,0.110 g,0.035 g,0.100 g,0.115 g,0.120 g,0.125 g,0.045 g,0.070 g,0.410 g,4.44 g,2.2 g,2.26 g,0.00 g,0.00 g,2.26 g,0.00 g,0.00 g,0.00 g,0.58 g,0.064 g,0.009 g,0.232 g,0.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,90.66 g
3988,"Asparagus, with salt, drained, boiled, cooked",100 g,22,0.2g,,0,240.00 mg,26.1 mg,149.00 mcg,0.00 mcg,1.084 mg,0.225 mg,0.139 mg,0.162 mg,1006.00 IU,50.00 mcg,0.00 mcg,604.00 mcg,0.00 mcg,771.00 mcg,0,0.00 mcg,0.079 mg,7.7 mg,0.00 IU,1.50 mg,1.50 mg,50.6 mcg,23.00 mg,0.165 mg,0.91 mg,14.00 mg,0.154 mg,54.00 mg,224.00 mg,6.1 mcg,0.60 mg,2.40 g,0.125 g,0.099 g,0.555 g,0.034 g,0.255 g,0.101 g,0.053 g,0,0.082 g,0.140 g,0.113 g,0.034 g,0.082 g,0.077 g,0.116 g,0.092 g,0.029 g,0.057 g,0.125 g,4.11 g,2.0 g,1.30 g,0.79 g,0.00 g,0.42 g,0.00 g,0.00 g,0.08 g,0.22 g,0.048 g,0.000 g,0.105 g,0.00 mg,0.0 g,0.63 g,0.00 mg,0.00 mg,92.63 g
6074,"Squash, unprepared, frozen, includes skin, zucchini, summer",100 g,17,0.1g,,0,2.00 mg,0,10.00 mcg,0.00 mcg,0.433 mg,0.297 mg,0.042 mg,0.048 mg,198.00 IU,10.00 mcg,0.00 mcg,119.00 mcg,0.00 mcg,2102.00 mcg,0,0.00 mcg,0.050 mg,5.3 mg,0.00 IU,0.12 mg,0.12 mg,4.2 mcg,18.00 mg,0.050 mg,0.51 mg,13.00 mg,0.244 mg,28.00 mg,218.00 mg,0.2 mcg,0.21 mg,1.16 g,0.061 g,0.049 g,0.141 g,0.012 g,0.124 g,0.044 g,0.025 g,0,0.042 g,0.068 g,0.064 g,0.017 g,0.041 g,0.036 g,0.047 g,0.028 g,0.010 g,0.031 g,0.052 g,3.58 g,1.3 g,1.71 g,0,0,0,0,0,0,0.13 g,0.027 g,0.010 g,0.056 g,0.00 mg,0.0 g,0.43 g,0,0,94.70 g
118,"Cucumber, raw, peeled",100 g,12,0.2g,,0,2.00 mg,5.7 mg,14.00 mcg,0.00 mcg,0.037 mg,0.240 mg,0.025 mg,0.031 mg,72.00 IU,4.00 mcg,8.00 mcg,31.00 mcg,18.00 mcg,16.00 mcg,0,0.00 mcg,0.051 mg,3.2 mg,0.00 IU,0.03 mg,0.03 mg,7.2 mcg,14.00 mg,0.071 mg,0.22 mg,12.00 mg,0.073 mg,21.00 mg,136.00 mg,0.1 mcg,0.17 mg,0.59 g,0.031 g,0.031 g,0.037 g,0.007 g,0.204 g,0.025 g,0.002 g,0,0.012 g,0.025 g,0.025 g,0.012 g,0.031 g,0.012 g,0.025 g,0.012 g,0.007 g,0.002 g,0.012 g,2.16 g,0.7 g,1.38 g,0.75 g,0.00 g,0.63 g,0.00 g,0.00 g,0.00 g,0.16 g,0.013 g,0.002 g,0.003 g,0.00 mg,0.0 g,0.36 g,0.00 mg,0.00 mg,96.73 g
