,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
133,"Tomatoes, raw, green",100 g,23,0.2g,,0,13.00 mg,8.6 mg,9.00 mcg,0.00 mcg,0.500 mg,0.500 mg,0.040 mg,0.060 mg,642.00 IU,32.00 mcg,78.00 mcg,346.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.081 mg,23.4 mg,0.00 IU,0.38 mg,0.38 mg,10.1 mcg,13.00 mg,0.090 mg,0.51 mg,10.00 mg,0.100 mg,28.00 mg,204.00 mg,0.4 mcg,0.07 mg,1.20 g,0.034 g,0.029 g,0.166 g,0.016 g,0.442 g,0.030 g,0.018 g,0,0.029 g,0.044 g,0.044 g,0.010 g,0.031 g,0.023 g,0.032 g,0.030 g,0.009 g,0.021 g,0.031 g,5.10 g,1.1 g,4.00 g,0,0,0,0,0,0,0.20 g,0.028 g,0.030 g,0.081 g,0.00 mg,0.0 g,0.50 g,0.00 mg,0.00 mg,93.00 g
296,"Onions, raw, sweet",100 g,32,0.1g,,0,8.00 mg,5.5 mg,23.00 mcg,0,0.133 mg,0.098 mg,0.020 mg,0.041 mg,1.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,6.00 mcg,0,0,0.130 mg,4.8 mg,0.00 IU,0.02 mg,0.02 mg,0.3 mcg,20.00 mg,0.056 mg,0.26 mg,9.00 mg,0.076 mg,27.00 mg,119.00 mg,0.5 mcg,0.13 mg,0.80 g,0.017 g,0.111 g,0.067 g,0.009 g,0.177 g,0.020 g,0.011 g,0,0.014 g,0.025 g,0.033 g,0.009 g,0.024 g,0.015 g,0.020 g,0.018 g,0.009 g,0.012 g,0.020 g,7.55 g,0.9 g,5.02 g,2.02 g,0.00 g,2.26 g,0.02 g,0.00 g,0.72 g,0.08 g,0,0,0,0.00 mg,0.0 g,0.34 g,0.00 mg,0.00 mg,91.24 g
625,"Garlic, raw",100 g,149,0.5g,0.1g,0,17.00 mg,23.2 mg,3.00 mcg,0.00 mcg,0.700 mg,0.596 mg,0.110 mg,0.200 mg,9.00 IU,0.00 mcg,0.00 mcg,5.00 mcg,0.00 mcg,16.00 mcg,0,0.00 mcg,1.235 mg,31.2 mg,0.00 IU,0.08 mg,0.08 mg,1.7 mcg,181.00 mg,0.299 mg,1.70 mg,25.00 mg,1.672 mg,153.00 mg,401.00 mg,14.2 mcg,1.16 mg,6.36 g,0.132 g,0.634 g,0.489 g,0.065 g,0.805 g,0.200 g,0.113 g,0,0.217 g,0.308 g,0.273 g,0.076 g,0.183 g,0.100 g,0.190 g,0.157 g,0.066 g,0.081 g,0.291 g,33.06 g,2.1 g,1.00 g,0,0,0,0,0,0,0.50 g,0.089 g,0.011 g,0.249 g,0.00 mg,0.0 g,1.50 g,0.00 mg,0.00 mg,58.58 g
1227,"Cabbage, salted, mustard",100 g,28,0.1g,,0,717.00 mg,21.5 mg,72.00 mcg,0.00 mcg,0.720 mg,0.186 mg,0.090 mg,0.040 mg,971.00 IU,49.00 mcg,140.00 mcg,513.00 mcg,0.00 mcg,29.00 mcg,0,0.00 mcg,0.300 mg,0.0 mg,0.00 IU,0.02 mg,0.02 mg,115.6 mcg,67.00 mg,0.034 mg,0.70 mg,15.00 mg,0.218 mg,27.00 mg,246.00 mg,0.9 mcg,0.30 mg,1.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63 g,3.1 g,1.40 g,0,0,0,0,0,0,0.10 g,0.013 g,0.007 g,0.048 g,0.00 mg,0.0 g,1.07 g,0.00 mg,0.00 mg,92.10 g
2569,"Brussels sprouts, unprepared, frozen",100 g,41,0.4g,0.1g,0,10.00 mg,0,123.00 mcg,0.00 mcg,0.638 mg,0.285 mg,0.122 mg,0.105 mg,617.00 IU,31.00 mcg,0,370.00 mcg,0,0,0,0.00 mcg,0.202 mg,74.1 mg,0.00 IU,0,0,0,26.00 mg,0.033 mg,0.93 mg,20.00 mg,0.311 mg,62.00 mg,370.00 mg,1.5 mcg,0.31 mg,3.78 g,0,0.227 g,0,0.024 g,0,0,0.085 g,0,0.148 g,0.170 g,0.172 g,0.036 g,0.110 g,0,0,0.135 g,0.042 g,0,0.173 g,7.86 g,3.8 g,0,0,0,0,0,0,0,0.41 g,0.084 g,0.031 g,0.207 g,0.00 mg,0.0 g,0.88 g,0,0,87.07 g
3108,"Celery, with salt, drained, boiled, cooked",100 g,18,0.2g,,0,327.00 mg,7.9 mg,22.00 mcg,0.00 mcg,0.319 mg,0.195 mg,0.047 mg,0.043 mg,521.00 IU,26.00 mcg,0.00 mcg,313.00 mcg,0.00 mcg,329.00 mcg,0,0.00 mcg,0.086 mg,6.1 mg,0.00 IU,0.35 mg,0.35 mg,37.8 mcg,42.00 mg,0.036 mg,0.42 mg,12.00 mg,0.106 mg,25.00 mg,284.00 mg,1.0 mcg,0.14 mg,0.83 g,0.027 g,0.024 g,0.141 g,0.005 g,0.107 g,0.026 g,0.014 g,0,0.025 g,0.039 g,0.032 g,0.007 g,0.024 g,0.022 g,0.024 g,0.024 g,0.011 g,0.011 g,0.033 g,4.00 g,1.6 g,2.37 g,0.66 g,0.85 g,0.71 g,0.00 g,0.00 g,0.14 g,0.16 g,0.040 g,0.030 g,0.075 g,0.00 mg,0,0.90 g,0,0,94.11 g
1176,"Lettuce, raw, green leaf",100 g,15,0.2g,,0,28.00 mg,13.6 mg,38.00 mcg,0.00 mcg,0.375 mg,0.134 mg,0.080 mg,0.070 mg,7405.00 IU,370.00 mcg,0.00 mcg,4443.00 mcg,0.00 mcg,1730.00 mcg,0,0.00 mcg,0.090 mg,9.2 mg,0.00 IU,0.22 mg,0.22 mg,126.3 mcg,36.00 mg,0.029 mg,0.86 mg,13.00 mg,0.250 mg,29.00 mg,194.00 mg,0.6 mcg,0.18 mg,1.36 g,0.056 g,0.071 g,0.142 g,0.016 g,0.182 g,0.057 g,0.022 g,0,0.084 g,0.079 g,0.084 g,0.016 g,0.055 g,0.048 g,0.039 g,0.059 g,0.009 g,0.032 g,0.070 g,2.87 g,1.3 g,0.78 g,0.43 g,0.00 g,0.36 g,0.00 g,0.00 g,0.00 g,0.15 g,0.020 g,0.006 g,0.082 g,0.00 mg,0.0 g,0.62 g,0.00 mg,0.00 mg,94.98 g
1309,"Apples, with skin, raw",100 g,52,0.2g,,0,1.00 mg,3.4 mg,3.00 mcg,0.00 mcg,0.091 mg,0.061 mg,0.026 mg,0.017 mg,54.00 IU,3.00 mcg,0.00 mcg,27.00 mcg,11.00 mcg,29.00 mcg,0,0.00 mcg,0.041 mg,4.6 mg,0.00 IU,0.18 mg,0.18 mg,2.2 mcg,6.00 mg,0.027 mg,0.12 mg,5.00 mg,0.035 mg,11.00 mg,107.00 mg,0.0 mcg,0.04 mg,0.26 g,0.011 g,0.006 g,0.070 g,0.001 g,0.025 g,0.009 g,0.005 g,0,0.006 g,0.013 g,0.012 g,0.001 g,0.006 g,0.006 g,0.010 g,0.006 g,0.001 g,0.001 g,0.012 g,13.81 g,2.4 g,10.39 g,5.90 g,0.00 g,2.43 g,0.00 g,0.00 g,2.07 g,0.17 g,0.028 g,0.007 g,0.051 g,0.00 mg,0.0 g,0.19 g,0.00 mg,0.00 mg,85.56 g
613,"Bananas, raw",100 g,89,0.3g,0.1g,0,1.00 mg,9.8 mg,20.00 mcg,0.00 mcg,0.665 mg,0.334 mg,0.073 mg,0.031 mg,64.00 IU,3.00 mcg,25.00 mcg,26.00 mcg,0.00 mcg,22.00 mcg,0,0.00 mcg,0.367 mg,8.7 mg,0.00 IU,0.10 mg,0.10 mg,0.5 mcg,5.00 mg,0.078 mg,0.26 mg,27.00 mg,0.270 mg,22.00 mg,358.00 mg,1.0 mcg,0.15 mg,1.09 g,0.040 g,0.049 g,0.124 g,0.009 g,0.152 g,0.038 g,0.077 g,0,0.028 g,0.068 g,0.050 g,0.008 g,0.049 g,0.028 g,0.040 g,0.028 g,0.009 g,0.009 g,0.047 g,22.84 g,2.6 g,12.23 g,4.85 g,0.00 g,4.98 g,0.00 g,0.01 g,2.39 g,0.33 g,0.112 g,0.032 g,0.073 g,0.00 mg,0.0 g,0.82 g,0.00 mg,0.00 mg,74.91 g
624,"Mangos, raw",100 g,60,0.4g,0.1g,0,1.00 mg,7.6 mg,43.00 mcg,0.00 mcg,0.669 mg,0.197 mg,0.038 mg,0.028 mg,1082.00 IU,54.00 mcg,9.00 mcg,640.00 mcg,10.00 mcg,23.00 mcg,0,0.00 mcg,0.119 mg,36.4 mg,0.00 IU,0.90 mg,0.90 mg,4.2 mcg,11.00 mg,0.111 mg,0.16 mg,10.00 mg,0.063 mg,14.00 mg,168.00 mg,0.6 mcg,0.09 mg,0.82 g,0.082 g,0.031 g,0.068 g,0,0.096 g,0.034 g,0.019 g,0,0.029 g,0.050 g,0.066 g,0.008 g,0.027 g,0.029 g,0.035 g,0.031 g,0.013 g,0.016 g,0.042 g,14.98 g,1.6 g,13.66 g,4.68 g,0.00 g,2.01 g,0.00 g,0.00 g,6.97 g,0.38 g,0.092 g,0.140 g,0.071 g,0.00 mg,0.0 g,0.36 g,0.00 mg,0.00 mg,83.46 g
1107,"Avocados, California, raw",100 g,167,15g,2.1g,0,8.00 mg,14.2 mg,89.00 mcg,0.00 mcg,1.912 mg,1.463 mg,0.143 mg,0.075 mg,147.00 IU,7.00 mcg,24.00 mcg,63.00 mcg,27.00 mcg,271.00 mcg,0,0.00 mcg,0.287 mg,8.8 mg,0.00 IU,1.97 mg,1.97 mg,21.0 mcg,13.00 mg,0.170 mg,0.61 mg,29.00 mg,0.149 mg,54.00 mg,507.00 mg,0.4 mcg,0.68 mg,1.96 g,0.106 g,0.087 g,0.232 g,0.027 g,0.282 g,0.102 g,0.048 g,0,0.083 g,0.141 g,0.129 g,0.037 g,0.095 g,0.096 g,0.112 g,0.072 g,0.025 g,0.048 g,0.105 g,8.64 g,6.8 g,0.30 g,0.08 g,0.08 g,0.08 g,0.00 g,0.00 g,0.06 g,15.41 g,2.126 g,9.799 g,1.816 g,0.00 mg,0,1.66 g,0,0,72.33 g
1299,"Oranges, with peel, raw",100 g,63,0.3g,,0,2.00 mg,0,30.00 mcg,0.00 mcg,0.500 mg,0.330 mg,0.050 mg,0.100 mg,250.00 IU,13.00 mcg,0,0,0,0,0,0.00 mcg,0.093 mg,71.0 mg,0,0,0,0,70.00 mg,0.057 mg,0.80 mg,14.00 mg,0,22.00 mg,196.00 mg,0.7 mcg,0.11 mg,1.30 g,0.070 g,0.090 g,0.158 g,0.014 g,0.131 g,0.131 g,0.024 g,0,0.035 g,0.032 g,0.066 g,0.027 g,0.043 g,0.064 g,0.045 g,0.021 g,0.012 g,0.022 g,0.055 g,15.50 g,4.5 g,0,0,0,0,0,0,0,0.30 g,0.035 g,0.055 g,0.060 g,0.00 mg,0.0 g,0.60 g,0.00 mg,0.00 mg,82.30 g
2238,"Grapes, raw, american type (slip skin)",100 g,67,0.4g,0.1g,0,2.00 mg,5.6 mg,4.00 mcg,0.00 mcg,0.300 mg,0.024 mg,0.057 mg,0.092 mg,100.00 IU,5.00 mcg,1.00 mcg,59.00 mcg,0.00 mcg,72.00 mcg,0,0.00 mcg,0.110 mg,4.0 mg,0.00 IU,0.19 mg,0.19 mg,14.6 mcg,14.00 mg,0.040 mg,0.29 mg,5.00 mg,0.718 mg,10.00 mg,191.00 mg,0.1 mcg,0.04 mg,0.63 g,0.026 g,0.046 g,0.077 g,0.010 g,0.131 g,0.019 g,0.023 g,0,0.005 g,0.013 g,0.014 g,0.021 g,0.013 g,0.021 g,0.030 g,0.017 g,0.003 g,0.011 g,0.017 g,17.15 g,0.9 g,16.25 g,0,0,0,0,0,0,0.35 g,0.114 g,0.014 g,0.102 g,0.00 mg,0.0 g,0.57 g,0.00 mg,0.00 mg,81.30 g
452,"Watermelon, raw",100 g,30,0.2g,,0,1.00 mg,4.1 mg,3.00 mcg,0.00 mcg,0.178 mg,0.221 mg,0.021 mg,0.033 mg,569.00 IU,28.00 mcg,0.00 mcg,303.00 mcg,78.00 mcg,8.00 mcg,0,0.00 mcg,0.045 mg,8.1 mg,0.00 IU,0.05 mg,0.05 mg,0.1 mcg,7.00 mg,0.042 mg,0.24 mg,10.00 mg,0.038 mg,11.00 mg,112.00 mg,0.4 mcg,0.10 mg,0.61 g,0.017 g,0.059 g,0.039 g,0.002 g,0.063 g,0.010 g,0.006 g,0,0.019 g,0.018 g,0.062 g,0.006 g,0.015 g,0.024 g,0.016 g,0.027 g,0.007 g,0.012 g,0.016 g,7.55 g,0.4 g,6.20 g,3.36 g,0.00 g,1.58 g,0.00 g,0.06 g,1.21 g,0.15 g,0.016 g,0.037 g,0.050 g,0.00 mg,0.0 g,0.25 g,0.00 mg,0.00 mg,91.45 g
769,"Pineapple, all varieties, raw",100 g,50,0.1g,,0,1.00 mg,5.5 mg,18.00 mcg,0.00 mcg,0.500 mg,0.213 mg,0.032 mg,0.079 mg,58.00 IU,3.00 mcg,0.00 mcg,35.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.112 mg,47.8 mg,0.00 IU,0.02 mg,0.02 mg,0.7 mcg,13.00 mg,0.110 mg,0.29 mg,12.00 mg,0.927 mg,8.00 mg,109.00 mg,0.1 mcg,0.12 mg,0.54 g,0.033 g,0.019 g,0.121 g,0.014 g,0.079 g,0.024 g,0.010 g,0,0.019 g,0.024 g,0.026 g,0.012 g,0.021 g,0.017 g,0.035 g,0.019 g,0.005 g,0.019 g,0.024 g,13.12 g,1.4 g,9.85 g,2.12 g,0.00 g,1.73 g,0.00 g,0.00 g,5.99 g,0.12 g,0.009 g,0.013 g,0.040 g,0.00 mg,0.0 g,0.22 g,0.00 mg,0.00 mg,86.00 g
1927,"Kiwifruit, raw, ZESPRI SunGold",100 g,63,0.3g,0.1g,0,3.00 mg,1.9 mg,31.00 mcg,0.00 mcg,0.231 mg,0.120 mg,0.074 mg,0.000 mg,23.00 IU,1.00 mcg,0.00 mcg,14.00 mcg,0,24.00 mcg,0,0.08 mcg,0.079 mg,161.3 mg,0.00 IU,1.40 mg,1.40 mg,6.1 mcg,17.00 mg,0.151 mg,0.21 mg,12.00 mg,0.048 mg,25.00 mg,315.00 mg,0.4 mcg,0.08 mg,1.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79 g,1.4 g,12.30 g,5.80 g,0.00 g,5.28 g,0.00 g,0.00 g,1.22 g,0.28 g,0.065 g,0.023 g,0.111 g,0.00 mg,0.0 g,0.47 g,0.00 mg,0.00 mg,82.44 g
614,"Papayas, raw",100 g,43,0.3g,0.1g,0,8.00 mg,6.1 mg,37.00 mcg,0.00 mcg,0.357 mg,0.191 mg,0.027 mg,0.023 mg,950.00 IU,47.00 mcg,2.00 mcg,274.00 mcg,589.00 mcg,89.00 mcg,0,0.00 mcg,0.038 mg,60.9 mg,0.00 IU,0.30 mg,0.30 mg,2.6 mcg,20.00 mg,0.045 mg,0.25 mg,21.00 mg,0.040 mg,10.00 mg,182.00 mg,0.6 mcg,0.08 mg,0.47 g,0.014 g,0.010 g,0.049 g,0,0.033 g,0.018 g,0.005 g,0,0.008 g,0.016 g,0.025 g,0.002 g,0.009 g,0.010 g,0.015 g,0.011 g,0.008 g,0.005 g,0.010 g,10.82 g,1.7 g,7.82 g,3.73 g,0.00 g,4.09 g,0.00 g,0.00 g,0.00 g,0.26 g,0.081 g,0.072 g,0.058 g,0.00 mg,0.0 g,0.39 g,0.00 mg,0.00 mg,88.06 g
170,"Peaches, raw, yellow",100 g,39,0.3g,,0,0.00 mg,6.1 mg,4.00 mcg,0.00 mcg,0.806 mg,0.153 mg,0.031 mg,0.024 mg,326.00 IU,16.00 mcg,0.00 mcg,162.00 mcg,67.00 mcg,91.00 mcg,0,0.00 mcg,0.025 mg,6.6 mg,0.00 IU,0.73 mg,0.73 mg,2.6 mcg,6.00 mg,0.068 mg,0.25 mg,9.00 mg,0.061 mg,20.00 mg,190.00 mg,0.1 mcg,0.17 mg,0.91 g,0.028 g,0.018 g,0.418 g,0.012 g,0.056 g,0.021 g,0.013 g,0,0.017 g,0.027 g,0.030 g,0.010 g,0.019 g,0.018 g,0.032 g,0.016 g,0.010 g,0.014 g,0.022 g,9.54 g,1.5 g,8.39 g,1.53 g,0.06 g,1.95 g,0.00 g,0.08 g,4.76 g,0.25 g,0.019 g,0.067 g,0.086 g,0.00 mg,0.0 g,0.43 g,0.00 mg,0.00 mg,88.87 g
1225,"Cherries, raw, red, sour",100 g,50,0.3g,0.1g,0,3.00 mg,6.1 mg,8.00 mcg,0.00 mcg,0.400 mg,0.143 mg,0.040 mg,0.030 mg,1283.00 IU,64.00 mcg,0.00 mcg,770.00 mcg,0.00 mcg,85.00 mcg,0,0.00 mcg,0.044 mg,10.0 mg,0.00 IU,0.07 mg,0.07 mg,2.1 mcg,16.00 mg,0.104 mg,0.32 mg,9.00 mg,0.112 mg,15.00 mg,173.00 mg,0.0 mcg,0.10 mg,1.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18 g,1.6 g,8.49 g,3.51 g,0.00 g,4.18 g,0.00 g,0.00 g,0.80 g,0.30 g,0.068 g,0.082 g,0.090 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,86.13 g
1083,"Lemons, without peel, raw",100 g,29,0.3g,,0,2.00 mg,5.1 mg,11.00 mcg,0.00 mcg,0.100 mg,0.190 mg,0.020 mg,0.040 mg,22.00 IU,1.00 mcg,1.00 mcg,3.00 mcg,20.00 mcg,11.00 mcg,0,0.00 mcg,0.080 mg,53.0 mg,0.00 IU,0.15 mg,0.15 mg,0.0 mcg,26.00 mg,0.037 mg,0.60 mg,8.00 mg,0.030 mg,16.00 mg,138.00 mg,0.4 mcg,0.06 mg,1.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32 g,2.8 g,2.50 g,0,0,0,0,0,0,0.30 g,0.039 g,0.011 g,0.089 g,0.00 mg,0.0 g,0.30 g,0.00 mg,0.00 mg,88.98 g
645,"Limes, raw",100 g,30,0.2g,,0,2.00 mg,5.1 mg,8.00 mcg,0.00 mcg,0.200 mg,0.217 mg,0.020 mg,0.030 mg,50.00 IU,2.00 mcg,0.00 mcg,30.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.043 mg,29.1 mg,0.00 IU,0.22 mg,0.22 mg,0.6 mcg,33.00 mg,0.065 mg,0.60 mg,6.00 mg,0.008 mg,18.00 mg,102.00 mg,0.4 mcg,0.11 mg,0.70 g,0,0,0,0,0,0,0,0,0,0,0.014 g,0.002 g,0,0,0,0,0.003 g,0,0,10.54 g,2.8 g,1.69 g,0,0,0,0,0,0,0.20 g,0.022 g,0.019 g,0.055 g,0.00 mg,0.0 g,0.30 g,0.00 mg,0.00 mg,88.26 g
1427,"Grapefruit, California, white, raw",100 g,37,0.1g,,0,0.00 mg,0,12.00 mcg,0.00 mcg,0.269 mg,0.283 mg,0.020 mg,0.037 mg,10.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.043 mg,33.3 mg,0.00 IU,0,0,0,12.00 mg,0.032 mg,0.08 mg,9.00 mg,0.020 mg,12.00 mg,143.00 mg,0,0.07 mg,0.88 g,0.028 g,0.099 g,0.157 g,0.009 g,0.225 g,0.017 g,0.009 g,0,0.009 g,0.017 g,0.022 g,0.008 g,0.053 g,0.072 g,0.032 g,0.015 g,0.009 g,0.009 g,0.017 g,9.09 g,0,0,0,0,0,0,0,0,0.10 g,0.014 g,0.013 g,0.024 g,0.00 mg,0,0.35 g,0,0,89.58 g
330,"Pomegranates, raw",100 g,83,1.2g,0.1g,0,3.00 mg,7.6 mg,38.00 mcg,0.00 mcg,0.293 mg,0.377 mg,0.053 mg,0.067 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.075 mg,10.2 mg,0.00 IU,0.60 mg,0.60 mg,16.4 mcg,10.00 mg,0.158 mg,0.30 mg,12.00 mg,0.119 mg,36.00 mg,236.00 mg,0.5 mcg,0.35 mg,1.67 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.70 g,4.0 g,13.67 g,0,0,0,0,0,0,1.17 g,0.120 g,0.093 g,0.079 g,0.00 mg,0.0 g,0.53 g,0.00 mg,0.00 mg,77.93 g
331,"Pears, raw, asian",100 g,42,0.2g,,0,0.00 mg,5.1 mg,8.00 mcg,0.00 mcg,0.219 mg,0.070 mg,0.010 mg,0.009 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.022 mg,3.8 mg,0.00 IU,0.12 mg,0.12 mg,4.5 mcg,4.00 mg,0.050 mg,0.00 mg,8.00 mg,0.060 mg,11.00 mg,121.00 mg,0.1 mcg,0.02 mg,0.50 g,0.017 g,0.009 g,0.098 g,0.005 g,0.036 g,0.014 g,0.005 g,0,0.014 g,0.025 g,0.017 g,0.006 g,0.013 g,0.016 g,0.018 g,0.013 g,0.005 g,0.004 g,0.018 g,10.65 g,3.6 g,7.05 g,0,0,0,0,0,0,0.23 g,0.012 g,0.049 g,0.055 g,0.00 mg,0.0 g,0.37 g,0.00 mg,0.00 mg,88.25 g
493,"Dates, medjool",100 g,277,0.2g,,0,1.00 mg,9.9 mg,15.00 mcg,0.00 mcg,1.610 mg,0.805 mg,0.060 mg,0.050 mg,149.00 IU,7.00 mcg,0.00 mcg,89.00 mcg,0.00 mcg,23.00 mcg,0,0,0.249 mg,0.0 mg,0.00 IU,0,0,2.7 mcg,64.00 mg,0.362 mg,0.90 mg,54.00 mg,0.296 mg,62.00 mg,696.00 mg,0,0.44 mg,1.81 g,0.078 g,0.060 g,0.220 g,0.046 g,0.265 g,0.090 g,0.029 g,0,0.045 g,0.082 g,0.054 g,0.017 g,0.048 g,0.111 g,0.062 g,0.042 g,0.007 g,0.016 g,0.066 g,74.97 g,6.7 g,66.47 g,31.95 g,0.00 g,33.68 g,0.00 g,0.30 g,0.53 g,0.15 g,0,0,0,0,0,1.74 g,0,0,21.32 g
788,"Oil, salad or cooking, olive",100 g,884,100g,14g,0,2.00 mg,0.3 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,14.35 mg,14.35 mg,60.2 mcg,1.00 mg,0.000 mg,0.56 mg,0.00 mg,0.000 mg,0.00 mg,1.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,13.808 g,72.961 g,10.523 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
775,"Ice creams, light, chocolate",100 g,187,7.2g,4.4g,28mg,71.00 mg,19.6 mg,4.00 mcg,0.00 mcg,0.126 mg,0.246 mg,0.129 mg,0.023 mg,425.00 IU,71.00 mcg,0.00 mcg,135.00 mcg,0.00 mcg,1.00 mcg,0,0.14 mcg,0.023 mg,1.2 mg,5.00 IU,0.20 mg,0.20 mg,0.6 mcg,159.00 mg,0.103 mg,0.69 mg,20.00 mg,0.101 mg,83.00 mg,170.00 mg,2.2 mcg,0.43 mg,5.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70 g,0.8 g,24.71 g,0,0,0,0,0,0,7.19 g,4.380 g,2.055 g,0.241 g,28.00 mg,0.0 g,0.69 g,2.00 mg,69.00 mg,61.43 g
6915,"Oil, roasting nuts, oil sprays, principal uses candy coatings, coconut, industrial",100 g,884,100g,86g,0,0.00 mg,0.3 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,0.09 mg,0.09 mg,0.5 mcg,0.00 mg,0.000 mg,0.04 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,86.002 g,5.935 g,1.657 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
538,"Nuts, almonds",100 g,579,50g,3.8g,0,1.00 mg,52.1 mg,44.00 mcg,0.00 mcg,3.618 mg,0.471 mg,1.138 mg,0.205 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,1.00 mcg,0,0.00 mcg,0.137 mg,0.0 mg,0.00 IU,25.63 mg,25.63 mg,0.0 mcg,269.00 mg,1.031 mg,3.71 mg,270.00 mg,2.179 mg,481.00 mg,733.00 mg,4.1 mcg,3.12 mg,21.15 g,0.999 g,2.465 g,2.639 g,0.215 g,6.206 g,1.429 g,0.539 g,0,0.751 g,1.473 g,0.568 g,0.157 g,1.132 g,0.969 g,0.912 g,0.601 g,0.211 g,0.450 g,0.855 g,21.55 g,12.5 g,4.35 g,0.11 g,0.07 g,0.17 g,0.00 g,0.04 g,3.95 g,49.93 g,3.802 g,31.551 g,12.329 g,0.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,4.41 g
635,"Oil, walnut",100 g,884,100g,9.1g,0,0.00 mg,0.4 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.40 mg,0.40 mg,15.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,9.100 g,22.800 g,63.300 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
